"","0 to 9","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70+"
"Adjuntas",1458,2109,1071,2031,2051,2492,2336,2569
"Aguada",2758,3931,2294,4271,4518,5569,5392,5210
"Aguadilla",3931,6044,3347,5665,6178,6408,6535,8335
"Aguas Buenas",1835,3028,1678,2901,3188,3384,3129,3825
"Aibonito",1789,2441,1265,2564,2434,3195,3250,3514
"Añasco",1926,2922,1715,2991,3391,3817,3314,4173
"Arecibo",6613,9160,5450,9015,10174,11218,9917,13936
"Arroyo",1478,2281,1048,2085,2274,2110,2119,2566
"Barceloneta",2062,2766,1626,2909,3364,2998,2522,3692
"Barranquitas",2802,3566,2019,3535,3104,3821,3362,3358
"Bayamón",13155,18043,11497,20480,19546,21687,20626,28965
"Cabo Rojo",3327,5465,3066,5068,6506,6563,5690,8608
"Caguas",9591,14622,8151,15057,16143,16714,14992,19555
"Camuy",2423,3364,2030,3401,3983,4321,3944,4668
"Canóvanas",3899,5433,2956,5423,6364,6444,5010,5932
"Carolina",11304,16238,9740,16458,18416,19398,16684,26319
"Cataño",1981,2688,1495,2926,2589,2897,3033,3645
"Cayey",3240,4813,2786,4956,5223,5992,5529,6835
"Ceiba",788,1183,726,1155,1331,1419,1200,2094
"Ciales",1413,1731,938,1820,1731,2191,2323,2453
"Cidra",3327,4525,2476,4709,4889,5460,5099,4991
"Coamo",3145,4498,2071,4821,5553,5617,5494,4997
"Comerío",1546,2305,1203,2456,2194,2575,2321,2622
"Corozal",2897,4002,2113,3982,3894,4388,4073,4459
"Dorado",3154,4768,2376,4208,5545,4957,3998,4820
"Fajardo",2552,3281,1952,3141,3612,3876,3116,5204
"Florida",1007,1330,824,1326,1482,1485,1400,1549
"Guánica",1362,1721,904,1594,1862,1823,1975,2861
"Guayama",3130,4911,2957,4884,4900,4914,4735,5531
"Guayanilla",1494,2164,1139,2018,2184,2170,2332,2797
"Guaynabo",5924,8176,5100,10093,9999,11657,11592,14471
"Gurabo",3706,6070,3244,6216,7238,6583,5184,5737
"Hatillo",2863,4461,2454,4831,5217,5560,4979,6178
"Hormigueros",1006,1649,930,1501,1974,1995,1980,3529
"Humacao",4002,5689,3130,5516,6542,6716,6901,8672
"Isabela",3029,4640,2608,4743,5497,5655,5066,6215
"Jayuya",1311,1766,917,1724,1741,1781,1747,1714
"Juana Díaz",4107,5611,2997,5119,5816,6016,5233,6214
"Juncos",3365,4919,2716,4960,5678,4794,4135,4634
"Lajas",1627,2349,1358,2244,2626,2893,2981,4150
"Lares",1986,2626,1436,2931,2932,3267,3202,3798
"Las Marías",724,913,474,860,905,1021,1045,1265
"Las Piedras",2960,4591,2397,4761,5304,4821,4543,5180
"Loiza",1977,3054,1517,3044,2889,3210,3343,3378
"Luquillo",1351,2064,1242,1899,2252,2264,2170,3035
"Manatí",3169,4248,2466,4073,4424,4715,4994,6232
"Maricao",421,608,322,652,653,755,787,879
"Maunabo",808,1145,547,1074,1264,1469,1472,1826
"Mayagüez",5060,9313,7805,7028,6714,7809,8678,13683
"Moca",2936,4245,2507,4192,4536,4833,4446,4569
"Morovis",2610,3772,2167,3938,3827,4285,3889,3646
"Naguabo",2261,3586,1757,3336,3587,2989,2819,3624
"Naranjito",2479,3096,1773,3324,3090,3775,3631,4124
"Orocovis",1942,2368,1376,2397,2374,2905,2614,2585
"Patillas",1196,1817,903,1714,1830,2396,2422,2727
"Peñuelas",1898,2465,1221,2335,2308,2561,2390,2365
"Ponce",11389,15298,9085,14558,14540,15742,17047,22353
"Quebradillas",1883,2655,1436,2682,2890,3206,2889,3568
"Rincón",947,1366,745,1363,1837,2011,1924,2656
"Rio Grande",3667,5519,3243,5647,6197,6700,5762,7499
"Sabana Grande",1816,2453,1433,2297,2680,2682,2751,3922
"Salinas",2287,3625,1769,3114,3477,3435,3326,4052
"San Germán",2445,3475,2210,3013,3298,3757,3896,5879
"San Juan",25046,33982,21314,36300,37060,41469,40354,56482
"San Lorenzo",2841,4073,2312,4291,4517,5186,4828,5141
"San Sebastián",2807,4033,2163,3809,4334,4563,4978,6259
"Santa Isabel",1825,2820,1537,2544,3318,2687,2188,2637
"Toa Alta",5827,9181,5328,9374,10252,10673,8294,7670
"Toa Baja",5935,8588,5068,9323,9429,9575,8817,11263
"Trujillo Alto",4852,7597,4260,7771,8298,8609,7765,9340
"Utuado",2231,3148,1604,3016,3118,3748,3915,4559
"Vega Alta",3093,4632,2464,4486,4542,4692,4220,5196
"Vega Baja",4150,5688,3177,5897,6134,6755,6271,7835
"Villalba",1993,2664,1508,2307,2456,2976,2991,2779
"Yabucoa",2351,3775,2075,3334,4022,4531,4596,5196
"Yauco",2558,3675,1948,3605,4100,4597,4736,5737
